rStart,rEnd,status,mem,rLat,rId,eStart,eEnd,eLat,cId,cStart,vmId,primeNumber,result,osType,nodeVersion,pName,vName,cName,version
1619961889387.4248,1619961889816.2607,200,512,0.4288361072540283,gcf_16x16x16_1,1619961889555,1619961889780,225,1F4MT1J2D,1619961883625,1G8TA0R,913739,True,linux,v14.16.1,GCF,1G8TA0R,1F4MT1J2D,38
1619961889387.8281,1619961889793.7463,200,512,0.4059181213378906,gcf_16x16x16_1,1619961889555,1619961889764,209,1F4MMOLTV,1619961883214,1G8TA0R,913753,True,linux,v14.16.1,GCF,1G8TA0R,1F4MMOLTV,38
1619961889389.2368,1619961889905.522,200,512,0.5162849426269531,gcf_16x16x16_1,1619961889552,1619961889879,327,1F4MKEINI,1619961873315,1G8TA0H,1045621,True,linux,v14.16.1,GCF,1G8TA0H,1F4MKEINI,38
1619961889390.4646,1619961889818.1885,200,512,0.42772388458251953,gcf_16x16x16_1,1619961889554,1619961889783,229,1F4MPLQ47,1619961883275,1G8TA0R,1045727,True,linux,v14.16.1,GCF,1G8TA0R,1F4MPLQ47,38
1619961889795.0835,1619961890204.3462,200,512,0.40926265716552734,gcf_16x16x16_1,1619961889961,1619961890175,214,1F4MKEINI,1619961873315,1G8TA0H,1046119,True,linux,v14.16.1,GCF,1G8TA0H,1F4MKEINI,38
1619961889819.774,1619961889997.4932,200,512,0.1777193546295166,gcf_16x16x16_1,1619961889966,1619961889970,4,1F4MT1J2D,1619961883625,1G8TA0R,21365,False,linux,v14.16.1,GCF,1G8TA0R,1F4MT1J2D,38
1619961889821.3042,1619961890001.4556,200,512,0.18015122413635254,gcf_16x16x16_1,1619961889967,1619961889971,4,1F4MPLQ47,1619961883275,1G8TA0R,21823,False,linux,v14.16.1,GCF,1G8TA0R,1F4MPLQ47,38
1619961889905.977,1619961890065.8125,200,512,0.1598355770111084,gcf_16x16x16_1,1619961890039,1619961890040,1,1F4MT1J2D,1619961883625,1G8TA0R,21749,False,linux,v14.16.1,GCF,1G8TA0R,1F4MT1J2D,38
1619961889998.0076,1619961890127.2092,200,512,0.12920165061950684,gcf_16x16x16_1,1619961890106,1619961890106,0,1F4MT1J2D,1619961883625,1G8TA0R,213,False,linux,v14.16.1,GCF,1G8TA0R,1F4MT1J2D,38
1619961890002.1921,1619961890143.753,200,512,0.14156079292297363,gcf_16x16x16_1,1619961890121,1619961890121,0,1F4MT1J2D,1619961883625,1G8TA0R,823,True,linux,v14.16.1,GCF,1G8TA0R,1F4MT1J2D,38
1619961890066.28,1619961890301.4653,200,512,0.2351851463317871,gcf_16x16x16_1,1619961890272,1619961890272,0,1F4MKEINI,1619961873315,1G8TA0H,749,False,linux,v14.16.1,GCF,1G8TA0H,1F4MKEINI,38
1619961969987.0452,1619961970562.2166,200,1024,0.5751714706420898,gcf_16x16x16_0,1619961970282,1619961970506,224,1F4MON24B,1619961960320,1G8TA37,913739,True,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961969989.2285,1619961971839.8767,200,1024,1.8506481647491455,gcf_16x16x16_0,1619961971670,1619961971777,107,1F4MQJSFQ,1619961971584,1G8TA3I,913753,True,linux,v14.16.1,GCF,1G8TA3I,1F4MQJSFQ,39
1619961969990.7434,1619961972069.444,200,1024,2.0787007808685303,gcf_16x16x16_0,1619961971914,1619961972022,108,1F4MM1297,1619961971871,1G8TA3J,1045621,True,linux,v14.16.1,GCF,1G8TA3J,1F4MM1297,39
1619961969992.0938,1619961971826.4292,200,1024,1.8343353271484375,gcf_16x16x16_0,1619961971623,1619961971771,148,1F4MMKI0O,1619961971549,1G8TA3I,1045727,True,linux,v14.16.1,GCF,1G8TA3I,1F4MMKI0O,39
1619961970564.2847,1619961970945.9028,200,1024,0.3816182613372803,gcf_16x16x16_0,1619961970709,1619961970913,204,1F4MON24B,1619961960320,1G8TA37,1046119,True,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961970947.2444,1619961971125.8003,200,1024,0.17855596542358398,gcf_16x16x16_0,1619961971086,1619961971092,6,1F4MON24B,1619961960320,1G8TA37,21365,False,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961971127.1821,1619961971325.495,200,1024,0.19831299781799316,gcf_16x16x16_0,1619961971289,1619961971290,1,1F4MON24B,1619961960320,1G8TA37,21823,False,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961971326.872,1619961971502.4377,200,1024,0.1755657196044922,gcf_16x16x16_0,1619961971473,1619961971474,1,1F4MON24B,1619961960320,1G8TA37,21749,False,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961971502.8853,1619961971670.952,200,1024,0.16806650161743164,gcf_16x16x16_0,1619961971640,1619961971640,0,1F4MON24B,1619961960320,1G8TA37,213,False,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961971672.352,1619961971860.349,200,1024,0.18799710273742676,gcf_16x16x16_0,1619961971828,1619961971828,0,1F4MON24B,1619961960320,1G8TA37,823,True,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961971828.2483,1619961972020.7642,200,1024,0.19251585006713867,gcf_16x16x16_0,1619961971990,1619961971990,0,1F4MON24B,1619961960320,1G8TA37,749,False,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961977581.0476,1619961977985.1042,200,1024,0.4040567874908447,gcf_16x16x16_1,1619961977807,1619961977948,141,1F4MM1297,1619961971871,1G8TA3J,913739,True,linux,v14.16.1,GCF,1G8TA3J,1F4MM1297,39
1619961977583.6858,1619961977964.8005,200,1024,0.3811147212982178,gcf_16x16x16_1,1619961977806,1619961977933,127,1F4MQJSFQ,1619961971584,1G8TA3I,913753,True,linux,v14.16.1,GCF,1G8TA3I,1F4MQJSFQ,39
1619961977586.0117,1619961978004.5796,200,1024,0.4185678958892822,gcf_16x16x16_1,1619961977805,1619961977959,154,1F4MMKI0O,1619961971549,1G8TA3I,1045621,True,linux,v14.16.1,GCF,1G8TA3I,1F4MMKI0O,39
1619961977588.341,1619961977989.2888,200,1024,0.40094780921936035,gcf_16x16x16_1,1619961977752,1619961977950,198,1F4MON24B,1619961960320,1G8TA37,1045727,True,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961977967.8054,1619961978278.103,200,1024,0.31029772758483887,gcf_16x16x16_1,1619961978110,1619961978250,140,1F4MM1297,1619961971871,1G8TA3J,1046119,True,linux,v14.16.1,GCF,1G8TA3J,1F4MM1297,39
1619961977990.8774,1619961978177.7932,200,1024,0.18691587448120117,gcf_16x16x16_1,1619961978137,1619961978138,1,1F4MON24B,1619961960320,1G8TA37,21365,False,linux,v14.16.1,GCF,1G8TA37,1F4MON24B,39
1619961977995.9658,1619961978170.731,200,1024,0.17476534843444824,gcf_16x16x16_1,1619961978136,1619961978140,4,1F4MQJSFQ,1619961971584,1G8TA3I,21823,False,linux,v14.16.1,GCF,1G8TA3I,1F4MQJSFQ,39
1619961978006.5352,1619961978191.6992,200,1024,0.185164213180542,gcf_16x16x16_1,1619961978137,1619961978147,10,1F4MMKI0O,1619961971549,1G8TA3I,21749,False,linux,v14.16.1,GCF,1G8TA3I,1F4MMKI0O,39
